chunk_id,chunk,question
1,"l'intérêt de l'enfant l'exige. Lorsqu'un service de l'aide sociale à l'enfance signale la situation d'un mineur privé temporairement ou définitivement de la protection de sa famille, selon le cas, le procureur de la République ou le juge des enfants demande au ministère de la justice de lui communiquer, pour chaque département, les informations permettant l'orientation du mineur concerné. Le procureur de la République ou le juge des enfants prend sa décision en stricte considération de l'intérêt de l'enfant, qu'il apprécie notamment à partir des éléments ainsi transmis pour garantir des modalités d'accueil adaptées. En cas d'urgence, dès lors qu'il existe des éléments sérieux laissant supposer que l'enfant s'apprête à quitter le territoire national dans des conditions qui le mettraient en danger et que l'un des détenteurs au moins de l'autorité parentale ne prend pas de mesure pour l'en protéger, le procureur de la République du lieu où demeure le mineur peut, par décision motivée, interdire la sortie du territoire de l'enfant. Il saisit dans les huit jours le juge compétent pour qu'il maintienne la mesure dans les conditions prévues au dernier alinéa de l'article 375-7 ou qu'il en prononce la mainlevée. La décision du procureur de la République fixe la durée de cette interdiction, qui ne peut excéder deux mois. Cette interdiction de sortie du territoire est inscrite au fichier des personnes recherchées. Article 375-6 Les décisions prises en matière d'assistance éducative peuvent être, à tout moment, modifiées ou rapportées par le juge qui les a rendues soit d'office, soit à la requête des père et mère conjointement, ou de l'un d'eux, de la personne ou du service à qui l'enfant a été confié ou du tuteur, du mineur lui-même ou du ministère public. Article 375-7 Les père et mère de l'enfant bénéficiant d'une mesure d'assistance éducative continuent à exercer tous les attributs de l'autorité parentale qui ne sont pas inconciliables avec cette mesure. Ils ne peuvent, pendant la durée de cette mesure, émanciper l'enfant sans autorisation du juge des enfants. Sans préjudice de l'article 373-4 et des dispositions particulières autorisant un tiers à accomplir un acte non usuel sans l'accord des détenteurs de l'autorité parentale, le juge des enfants peut exceptionnellement, dans tous les cas où l'intérêt de l'enfant le justifie, autoriser la personne, le service ou l'établissement à qui est confié l'enfant à exercer un ou plusieurs actes déterminés relevant de l'autorité parentale en cas de refus Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 abusif ou injustifié ou en cas de négligence des détenteurs de l'autorité parentale ou lorsque ceux-ci sont poursuivis ou condamnés, même non définitivement, pour des crimes ou délits commis sur la personne de l'enfant, à charge pour le demandeur de rapporter la preuve de la nécessité de cette mesure. Le lieu d'accueil de l'enfant doit être recherché dans l'intérêt de celui-ci et afin de faciliter l'exercice du droit de visite et d'hébergement par le ou les parents et le maintien de ses liens avec ses","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Quelle est la durée maximale d'une interdiction de sortie du territoire prononcée par le procureur de la République en cas d'urgence ?**"
2,"l'état liquidatif est soumis à l'approbation du juge des tutelles. Le partage peut également être fait en justice conformément aux dispositions des articles 840 à 842. Tout autre partage est considéré comme provisionnel. Article 117 Le ministère public est spécialement chargé de veiller aux intérêts des présumés absents ; il est entendu sur toutes les demandes les concernant ; il peut requérir d'office l'application ou la modification des mesures prévues au présent titre. Article 118 Si un présumé absent reparaît ou donne de ses nouvelles, il est, sur sa demande, mis fin par le juge aux mesures prises pour sa représentation et l'administration de ses biens ; il recouvre alors les biens gérés ou acquis pour son compte durant la période de l'absence. Article 119 Les droits acquis sans fraude, sur le fondement de la présomption d'absence, ne sont pas remis en cause lorsque le décès de l'absent vient à être établi ou judiciairement déclaré, quelle que soit la date retenue pour le décès. Article 120 Les dispositions qui précèdent, relatives à la représentation des présumés absents et à l'administration de leurs biens, sont aussi applicables aux personnes qui, par suite d'éloignement, se trouvent malgré elles hors d'état de manifester leur volonté. Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Article 121 Ces mêmes dispositions ne sont pas applicables aux présumés absents ou aux personnes mentionnées à l'article 120 lorsqu'ils ont laissé une procuration suffisante à l'effet de les représenter et d'administrer leurs biens. Il en est de même si le conjoint peut pourvoir suffisamment aux intérêts en cause par l'application du régime matrimonial, et notamment par l'effet d'une décision obtenue en vertu des articles 217 et 219, 1426 et 1429. Chapitre II : De la déclaration d'absence Article 122 Lorsqu'il se sera écoulé dix ans depuis le jugement qui a constaté la présomption d'absence, soit selon les modalités fixées par l'article 112, soit à l'occasion de l'une des procédures judiciaires prévues par les articles 217 et 219, 1426 et 1429, l'absence pourra être déclarée par le tribunal judiciaire à la requête de toute partie intéressée ou du ministère public. Il en sera de même quand, à défaut d'une telle constatation, la personne aura cessé de paraître au lieu de son domicile ou de sa résidence, sans que l'on en ait eu de nouvelles depuis plus de vingt ans. Article 123 Des extraits de la requête aux fins de déclaration d'absence, après avoir été visés par le ministère public, sont publiés dans deux journaux diffusés dans le département ou, le cas échéant, dans le pays du domicile ou de la dernière résidence de la personne demeurée sans donner de nouvelles. Le tribunal, saisi de la requête, peut en outre ordonner toute autre mesure de publicité dans tout lieu où il le juge utile. Ces mesures de publicité sont assurées par la partie qui présente la requête. Article 124 Dès que les extraits en ont été publiés, la requête est transmise, par l'intermédiaire","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Qui est spécialement chargé de veiller aux intérêts des présumés absents ?**"
3,"partie de sa succession pour le compte et dans l'intérêt d'un ou de plusieurs héritiers identifiés. Le mandataire peut être un héritier. Il doit jouir de la pleine capacité civile et ne pas être frappé d'une interdiction de gérer lorsque des biens professionnels sont compris dans le patrimoine successoral. Le mandataire ne peut être le notaire chargé du règlement de la succession. Article 812-1 Le mandataire exerce ses pouvoirs alors même qu'il existe un mineur ou un majeur protégé parmi les héritiers. Article 812-1-1 Le mandat n'est valable que s'il est justifié par un intérêt sérieux et légitime au regard de la personne de l'héritier ou du patrimoine successoral, précisément motivé. Il est donné pour une durée qui ne peut excéder deux ans, prorogeable une ou plusieurs fois par décision du juge, saisi par un héritier ou par le mandataire. Toutefois, il peut être donné pour une durée de cinq ans, prorogeable dans les mêmes conditions, en raison de l'inaptitude, de l'âge du ou des héritiers, ou de la nécessité de gérer des biens professionnels. Il est donné et accepté en la forme authentique. Il doit être accepté par le mandataire avant le décès du mandant. Préalablement à son exécution, le mandant et le mandataire peuvent renoncer au mandat après avoir notifié leur décision à l'autre partie. Article 812-1-2 Les actes réalisés par le mandataire dans le cadre de sa mission sont sans effet sur l'option héréditaire. Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Article 812-1-3 Tant qu'aucun héritier visé par le mandat n'a accepté la succession, le mandataire ne dispose que des pouvoirs reconnus au successible à l'article 784. Article 812-1-4 Le mandat à effet posthume est soumis aux dispositions des articles 1984 à 2010 qui ne sont pas incompatibles avec les dispositions de la présente section. Paragraphe 2 : De la rémunération du mandataire. Article 812-2 Le mandat est gratuit s'il n'y a convention contraire. S'il est prévu une rémunération, celle-ci doit être expressément déterminée dans le mandat. Elle correspond à une part des fruits et revenus perçus par la succession et résultant de la gestion ou de l'administration du mandataire. En cas d'insuffisance ou d'absence de fruits et revenus, elle peut être complétée par un capital ou prendre la forme d'un capital. Article 812-3 La rémunération du mandataire est une charge de la succession qui ouvre droit à réduction lorsqu'elle a pour effet de priver les héritiers de tout ou partie de leur réserve. Les héritiers visés par le mandat ou leurs représentants peuvent demander en justice la révision de la rémunération lorsqu'ils justifient de la nature excessive de celle-ci au regard de la durée ou de la charge résultant du mandat. Paragraphe 3 : De la fin du mandat à effet posthume. Article 812-4 Le mandat prend fin par l'un des événements suivants : 1° L'arrivée du terme prévu ; Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 2°","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Quelle est la durée maximale initiale d'un mandat à effet posthume, sauf exceptions ?**"
4,"au plus tard au moment de la déclaration de naissance : soit le nom de l'une d'elles, soit leurs deux noms accolés dans l'ordre choisi par elles dans la limite d'un nom de famille pour chacune d'elles. En l'absence de déclaration conjointe à l'officier de l'état civil mentionnant le choix du nom de l'enfant, celui-ci prend leurs deux noms, dans la limite du premier nom de famille de chacune d'elles, accolés selon l'ordre alphabétique. En cas de naissance à l'étranger d'un enfant dont l'un au moins des parents est français, les parents qui n'ont pas usé de la faculté de choix du nom dans les conditions prévues au premier alinéa du présent article peuvent effectuer une telle déclaration lors de la demande de transcription de l'acte, au plus tard dans les trois ans suivant la naissance de l'enfant. Lorsqu'il a déjà été fait application du présent article, de l'article 311-21, du deuxième alinéa de l'article 311-23 ou de l'article 357 à l'égard d'un enfant commun, le nom précédemment dévolu ou choisi vaut pour les autres enfants communs. Lorsque les parents ou l'un d'entre eux portent un double nom de famille, ils peuvent, par une déclaration écrite conjointe, ne transmettre qu'un seul nom à leurs enfants. Lorsqu'il est fait application du dernier alinéa de l'article 342-13 et que la filiation de l'enfant s'en trouve modifiée, le procureur de la République modifie le nom de l'enfant par application du présent article. Article 342-13 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Celui qui, après avoir consenti à l'assistance médicale à la procréation, ne reconnaît pas l'enfant qui en est issu engage sa responsabilité envers la mère et envers l'enfant. En outre, sa paternité est judiciairement déclarée. L'action obéit aux dispositions des articles 328 et 331. La femme qui, après avoir consenti à l'assistance médicale à la procréation, fait obstacle à la remise à l'officier de l'état civil de la reconnaissance conjointe mentionnée à l'article 342-10 engage sa responsabilité. En cas d'absence de remise de la reconnaissance conjointe mentionnée au même article 342-10, celle-ci peut être communiquée à l'officier de l'état civil par le procureur de la République à la demande de l'enfant majeur, de son représentant légal s'il est mineur ou de toute personne ayant intérêt à agir en justice. La reconnaissance conjointe est portée en marge de l'acte de naissance de l'enfant. Toutefois, la filiation établie par la reconnaissance conjointe ne peut être portée dans l'acte de naissance tant que la filiation déjà établie à l'égard d'un tiers, par présomption, reconnaissance volontaire ou adoption plénière, n'a pas été contestée en justice dans les conditions prévues à la section 3 du chapitre III du présent titre, par une action en tierce opposition dans les conditions prévues à l'article 353-2 ou par un recours en révision dans les conditions prévues par décret. Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Livre Ier : Des personnes Titre VIII","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Dans quel délai, en cas de naissance à l'étranger d'un enfant dont l'un au moins des parents est français, les parents qui n'ont pas usé de la faculté de choix du nom peuvent-ils effectuer cette déclaration ?**"
5,"pareillement placé ; Les intérêts de ces sommes et les prix des fermes appartiennent, dans ce cas, à l'usufruitier. Article 603 A défaut d'une caution de la part de l'usufruitier, le propriétaire peut exiger que les meubles qui dépérissent par l'usage soient vendus, pour le prix en être placé comme celui des denrées ; et alors l'usufruitier jouit de l'intérêt pendant son usufruit : cependant l'usufruitier pourra demander, et les juges pourront ordonner, suivant les circonstances, qu'une partie des meubles nécessaires pour son usage lui soit délaissée, sous sa simple caution juratoire, et à la charge de les représenter à l'extinction de l'usufruit. Article 604 Le retard de donner caution ne prive pas l'usufruitier des fruits auxquels il peut avoir droit ; ils lui sont dus du moment où l'usufruit a été ouvert. Article 605 L'usufruitier n'est tenu qu'aux réparations d'entretien. Les grosses réparations demeurent à la charge du propriétaire, à moins qu'elles n'aient été occasionnées par le défaut de réparations d'entretien, depuis l'ouverture de l'usufruit ; auquel cas l'usufruitier en est aussi tenu. Article 606 Les grosses réparations sont celles des gros murs et des voûtes, le rétablissement des poutres et des couvertures entières. Celui des digues et des murs de soutènement et de clôture aussi en entier. Toutes les autres réparations sont d'entretien. Article 607 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Ni le propriétaire, ni l'usufruitier, ne sont tenus de rebâtir ce qui est tombé de vétusté, ou ce qui a été détruit par cas fortuit. Article 608 L'usufruitier est tenu, pendant sa jouissance, de toutes les charges annuelles de l'héritage, telles que les contributions et autres qui dans l'usage sont censées charges des fruits. Article 609 A l'égard des charges qui peuvent être imposées sur la propriété pendant la durée de l'usufruit, l'usufruitier et le propriétaire y contribuent ainsi qu'il suit : Le propriétaire est obligé de les payer, et l'usufruitier doit lui tenir compte des intérêts ; Si elles sont avancées par l'usufruitier, il a la répétition du capital à la fin de l'usufruit. Article 610 Le legs fait par un testateur, d'une rente viagère ou pension alimentaire, doit être acquitté par le légataire universel de l'usufruit dans son intégrité, et par le légataire à titre universel de l'usufruit dans la proportion de sa jouissance, sans aucune répétition de leur part. Article 611 L'usufruitier à titre particulier n'est pas tenu des dettes auxquelles le fonds est hypothéqué : s'il est forcé de les payer, il a son recours contre le propriétaire, sauf ce qui est dit à l'article 1020, au titre "" Des donations entre vifs et des testaments "". Article 612 L'usufruitier, ou universel, ou à titre universel, doit contribuer avec le propriétaire au paiement des dettes ainsi qu'il suit : Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 On estime la valeur du fonds sujet à usufruit ; on fixe ensuite la contribution aux dettes à","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Qui est tenu de payer les grosses réparations sur la propriété, à moins qu'elles n'aient été occasionnées par le défaut d'entretien depuis l'ouverture de l'usufruit ?**"
6,"des personnes employées à la suite des armées pourront être reçus dans les cas et conditions prévus à l'article 93 soit par un officier supérieur en présence de deux témoins ; soit par deux commissaires des armées ; soit par un commissaire des armées en présence de deux témoins ; soit enfin, dans un détachement isolé, par l'officier commandant ce détachement, assisté de deux témoins, s'il n'existe pas dans le détachement d'officier supérieur ou de commissaire des armées. Le testament de l'officier commandant un détachement isolé pourra être reçu par l'officier qui vient après lui dans l'ordre du service. La faculté de tester dans les conditions prévues au présent article s'étendra aux prisonniers chez l'ennemi. Article 982 Les testaments mentionnés à l'article précédent pourront encore, si le testateur est malade ou blessé, être reçus, dans les hôpitaux ou les formations sanitaires militaires, telles que les définissent les règlements de l'armée, par le médecin-chef, quel que soit son grade, assisté de l'officier d'administration gestionnaire. A défaut de cet officier d'administration, la présence de deux témoins sera nécessaire. Article 983 Dans tous les cas, il est fait un double original des testaments mentionnés aux articles 981 et 982. Si cette formalité n'a pu être accomplie en raison de l'état de santé du testateur, il est dressé une expédition du testament, signée par les témoins et par les officiers instrumentaires, pour tenir lieu du second original. Il y est fait mention des causes qui ont empêché de dresser le second original. Dès que leur communication est possible, et dans le plus bref délai, les deux originaux, ou l'original et l'expédition du testament, sont adressés par courriers distincts, sous pli clos et cacheté, au ministre chargé de la défense nationale ou de la mer, pour être déposés chez le notaire indiqué par le testateur ou, à défaut Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 d'indication, chez le président de la chambre des notaires de l'arrondissement du dernier domicile du testateur. Article 984 Le testament fait dans la forme ci-dessus établie sera nul six mois après que le testateur sera venu dans un lieu où il aura la liberté d'employer les formes ordinaires, à moins que, avant l'expiration de ce délai, il n'ait été de nouveau placé dans une des situations spéciales prévues à l'article 93. Le testament sera alors valable pendant la durée de cette situation spéciale et pendant un nouveau délai de six mois après son expiration. Article 985 Les testaments faits dans un lieu avec lequel toute communication est impossible à cause d'une maladie contagieuse peuvent être faits par toute personne atteinte de cette maladie ou située dans des lieux qui en sont infectés, devant le juge du tribunal judiciaire ou devant l'un des officiers municipaux de la commune, en présence de deux témoins. Article 986 Les testaments faits dans une île du territoire français, où il n'existe pas d'office notarial, peuvent, lorsque toute communication avec le territoire auquel cette île est rattachée","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Quels sont les différentes manières dont une personne employée à la suite des armées peut faire son testament, selon l'article 981 ?**"
7,"publiés dans des formes fixées par décret. Ils n'ont point d'effet rétroactif. Article 27-2 Les décrets portant acquisition, naturalisation ou réintégration peuvent être rapportés sur avis conforme du Conseil d'Etat dans le délai de deux ans à compter de leur publication au Journal officiel si le requérant ne satisfait pas aux conditions légales ; si la décision a été obtenue par mensonge ou fraude, ces décrets peuvent être rapportés dans le délai de deux ans à partir de la découverte de la fraude. Article 27-3 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Les décrets qui portent perte pour l'une des causes prévues aux articles 23-7 et 23-8 ou déchéance de la nationalité française sont pris, l'intéressé entendu ou appelé à produire ses observations. Section 3 : Des mentions sur les registres de l'état civil Article 28 Mention sera portée, en marge de l'acte de naissance, des actes administratifs et des déclarations ayant pour effet l'acquisition, la perte de la nationalité française ou la réintégration dans cette nationalité. Il sera fait de même mention de toute première délivrance de certificat de nationalité française et des décisions juridictionnelles ayant trait à cette nationalité. Article 28-1 Les mentions relatives à la nationalité prévues à l'article précédent sont portées d'office sur les copies et les extraits avec indication de la filiation des actes de naissance ou des actes dressés pour en tenir lieu. Ces mentions sont également portées sur les extraits sans indication de la filiation des actes de naissance ou sur le livret de famille à la demande des intéressés. Toutefois, la mention de la perte, de la déclination, de la déchéance, de l'opposition à l'acquisition de la nationalité française, du retrait du décret d'acquisition, de naturalisation ou de réintégration ou de la décision judiciaire ayant constaté l'extranéité est portée d'office sur tous les extraits des actes de naissance et sur le livret de famille lorsqu'une personne ayant antérieurement acquis cette nationalité, ou s'étant vu reconnaître judiciairement celle-ci, ou délivrer un certificat de nationalité française a demandé qu'il en soit fait mention sur lesdits documents. Chapitre VI : Du contentieux de la nationalité Section 1 : De la compétence des tribunaux judiciaires et de la procédure devant ces tribunaux Article 29 La juridiction civile de droit commun est seule compétente pour connaître des contestations sur la nationalité française ou étrangère des personnes physiques. Les questions de nationalité sont préjudicielles devant toute autre juridiction de l'ordre administratif ou judiciaire à l'exception des juridictions répressives comportant un jury criminel. Article 29-1 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Le siège et le ressort des tribunaux judiciaires compétents pour connaître des contestations sur la nationalité française ou étrangère des personnes physiques sont fixés par décret. Article 29-2 La procédure suivie en matière de nationalité, et notamment la communication au ministère de la justice des assignations, conclusions et voies de recours, est déterminée par le code de procédure civile.","Voici une question factuelle dont la réponse se trouve dans le contexte :

Dans quel délai un décret portant acquisition, naturalisation ou réintégration peut-il être rapporté si le requérant ne satisfait pas aux conditions légales, sur avis conforme du Conseil d'État ?"
8,"présent titre, par une action en tierce opposition dans les conditions prévues à l'article 353-2 ou par un recours en révision dans les conditions prévues par décret. Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Livre Ier : Des personnes Titre VIII : De la filiation adoptive Chapitre Ier : Des conditions requises pour l'adoption Section 1 : De l'adoptant Article 343 L'adoption peut être demandée par deux époux non séparés de corps, deux partenaires liés par un pacte civil de solidarité ou deux concubins. Les adoptants doivent être en mesure d'apporter la preuve d'une communauté de vie d'au moins un an ou être âgés l'un et l'autre de plus de vingt-six ans. Article 343-1 L'adoption peut être aussi demandée par toute personne âgée de plus de vingt-six ans. Si l'adoptant est marié et non séparé de corps ou lié par un pacte civil de solidarité, le consentement de l'autre membre du couple est nécessaire à moins que celui-ci ne soit dans l'impossibilité de manifester sa volonté. Section 2 : De l'adopté Article 344 Peuvent être adoptés : 1° Les mineurs pour lesquels les parents ou le conseil de famille ont valablement consenti à l'adoption ; 2° Les pupilles de l'Etat pour lesquels le conseil de famille des pupilles de l'Etat a consenti à l'adoption ; 3° Les enfants judiciairement déclarés délaissés dans les conditions prévues aux articles 381-1 et 381-2 ; 4° Les majeurs, en la forme simple et en la forme plénière dans les cas prévus à l'article 345. Article 345 L'adoption plénière n'est permise qu'en faveur des enfants âgés de moins de quinze ans, accueillis au foyer du ou des adoptants depuis au moins six mois. Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Toutefois, si l'enfant a plus de quinze ans, l'adoption plénière peut également être demandée, si les conditions en sont remplies, pendant la minorité de l'enfant et dans les trois ans suivant sa majorité : 1° Lorsque l'enfant a été accueilli avant ses quinze ans par des personnes qui ne remplissaient pas les conditions légales pour adopter ; 2° Lorsque l'enfant a fait l'objet d'une adoption simple avant ses quinze ans ; 3° Dans les cas prévus aux 2° et 3° de l'article 344 ; 4° Dans les cas prévus à l'article 370-1-3. Article 345-1 L'adoption simple est permise quel que soit l'âge de l'adopté. Article 345-2 Nul ne peut être adopté par plusieurs personnes si ce n'est par deux époux, deux partenaires liés par un pacte civil de solidarité ou deux concubins. Toutefois, une nouvelle adoption simple ou plénière peut être prononcée après le décès de l'adoptant ou des deux adoptants, et une adoption simple peut être prononcée au profit d'un enfant ayant fait l'objet d'une adoption plénière s'il existe des motifs graves. Section 3 : Des rapports entre l'adoptant et l'adopté Article 346 L'adoption entre ascendants et descendants en ligne directe et entre frères et sœurs","Quelle est la durée minimale de communauté de vie requise pour les couples demandant une adoption, s'ils n'ont pas tous les deux plus de vingt-six ans ?"
9,"légal, ou que les paiements s'imputeront d'abord sur le capital. Il peut subordonner ces mesures à l'accomplissement par le débiteur d'actes propres à faciliter ou à garantir le paiement de la dette. La décision du juge suspend les procédures d'exécution qui auraient été engagées par le créancier. Les majorations d'intérêts ou les pénalités prévues en cas de retard ne sont pas encourues pendant le délai fixé par le juge. Toute stipulation contraire est réputée non écrite. Les dispositions du présent article ne sont pas applicables aux dettes d'aliment. Sous-section 3 : La mise en demeure Paragraphe 1 : La mise en demeure du débiteur Article 1344 Le débiteur est mis en demeure de payer soit par une sommation ou un acte portant interpellation suffisante, soit, si le contrat le prévoit, par la seule exigibilité de l'obligation. Article 1344-1 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 La mise en demeure de payer une obligation de somme d'argent fait courir l'intérêt moratoire, au taux légal, sans que le créancier soit tenu de justifier d'un préjudice. Article 1344-2 La mise en demeure de délivrer une chose met les risques à la charge du débiteur, s'ils n'y sont déjà. Paragraphe 2 : La mise en demeure du créancier Article 1345 Lorsque le créancier, à l'échéance et sans motif légitime, refuse de recevoir le paiement qui lui est dû ou l'empêche par son fait, le débiteur peut le mettre en demeure d'en accepter ou d'en permettre l'exécution. La mise en demeure du créancier arrête le cours des intérêts dus par le débiteur et met les risques de la chose à la charge du créancier, s'ils n'y sont déjà, sauf faute lourde ou dolosive du débiteur. Elle n'interrompt pas la prescription. Article 1345-1 Si l'obstruction n'a pas pris fin dans les deux mois de la mise en demeure, le débiteur peut, lorsque l'obligation porte sur une somme d'argent, la consigner à la Caisse des dépôts et consignations ou, lorsque l'obligation porte sur la livraison d'une chose, séquestrer celle-ci auprès d'un gardien professionnel. Si le séquestre de la chose est impossible ou trop onéreux, le juge peut en autoriser la vente amiable ou aux enchères publiques. Déduction faite des frais de la vente, le prix en est consigné à la Caisse des dépôts et consignations. La consignation ou le séquestre libère le débiteur à compter de leur notification au créancier. Article 1345-2 Lorsque l'obligation porte sur un autre objet, le débiteur est libéré si l'obstruction n'a pas cessé dans les deux mois de la mise en demeure. Article 1345-3 Les frais de la mise en demeure et de la consignation ou du séquestre sont à la charge du créancier. Sous-section 4 : Le paiement avec subrogation Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Article 1346 La subrogation a lieu par le seul effet de la loi au profit de celui qui, y ayant un intérêt légitime, paie dès lors","Voici une question factuelle dont la réponse se trouve dans le contexte fourni :

**Quelles sont les deux manières principales dont un débiteur peut être mis en demeure de payer, selon l'article 1344 ?**"
10,"motiver le refus de faire droit à la demande. Le tribunal constate que le demandeur satisfait aux conditions fixées à l'article 61-5 et ordonne la modification de la mention relative au sexe ainsi que, le cas échéant, des prénoms, dans les actes de l'état civil. Article 61-7 Mention de la décision de modification du sexe et, le cas échéant, des prénoms est portée en marge de l'acte de naissance de l'intéressé, à la requête du procureur de la République, dans les quinze jours suivant la date à laquelle cette décision est passée en force de chose jugée. Par dérogation à l'article 61-4, les modifications de prénoms corrélatives à une décision de modification de sexe ne sont portées en marge des actes de l'état civil des conjoints et enfants qu'avec le consentement des intéressés ou de leurs représentants légaux. Les articles 100 et 101 sont applicables aux modifications de sexe. Article 61-8 La modification de la mention du sexe dans les actes de l'état civil est sans effet sur les obligations contractées à l'égard de tiers ni sur les filiations établies avant cette modification. Section 3 : De l'acte de reconnaissance. Article 62 L'acte de reconnaissance énonce les prénoms, nom, date de naissance ou, à défaut, âge, lieu de naissance et domicile de l'auteur de la reconnaissance. Il indique les date et lieu de naissance, le sexe et les prénoms de l'enfant ou, à défaut, tous renseignements utiles sur la naissance, sous réserve des dispositions de l'article 326. L'acte de reconnaissance est inscrit à sa date sur les registres de l'état civil. Seules les mentions prévues au premier alinéa sont portées, le cas échéant, en marge de l'acte de naissance de l'enfant. Dans les circonstances prévues à l'article 59, la déclaration de reconnaissance peut être reçue par les officiers instrumentaires désignés en cet article et dans les formes qui y sont indiquées. Lors de l'établissement de l'acte de reconnaissance, il est fait lecture à son auteur des articles 371-1 et 371-2. Article 62-1 Code civil - Dernière modification le 14 septembre 2024 - Document généré le 10 février 2025 Si la transcription de la reconnaissance paternelle s'avère impossible, du fait du secret de son identité opposé par la mère, le père peut en informer le procureur de la République. Celui-ci procède à la recherche des date et lieu d'établissement de l'acte de naissance de l'enfant. Chapitre III : Des actes de mariage. Article 63 Avant la célébration du mariage, l'officier de l'état civil fera une publication par voie d'affiche apposée à la porte de la maison commune. Cette publication énoncera les prénoms, noms, professions, domiciles et résidences des futurs époux, ainsi que le lieu où le mariage devra être célébré. La publication prévue au premier alinéa ou, en cas de dispense de publication accordée conformément aux dispositions de l'article 169, la célébration du mariage est subordonnée : 1° A la remise, pour chacun des futurs époux, des indications ou pièces suivantes : -les pièces exigées par les articles 70 ou 71","Voici une question factuelle dont la réponse se trouve dans le contexte :

**Dans quel délai la mention de la décision de modification du sexe et, le cas échéant, des prénoms, est-elle portée en marge de l'acte de naissance de l'intéressé, à la requête du procureur de la République ?**"
